listing_no,status,history_count,export_uuid,export_backmarket_id,export_sku,title,catalog_colour,quantity,status_text,export_grade,reasons
6709323,vetted_product_lineage,0,0813a2a6-fd00-4d5f-8ad0-d51aea5715f4,596539,MBP.A2251.I7.32GB.2TB.Grey.VERY_GOOD,MacBook Pro Retina 13-inch (2020) - Core i7 - 32GB SSD 2000 QWERTY - English,Space Gray,0,Price or comment missing,VERY_GOOD,no direct listing history; vetted by product lineage
6709315,vetted_product_lineage,0,87214b18-2f32-49a3-b612-f390c294eb73,545353,MBP.A2338.M1.8GB.1TB.Silver.VERY_GOOD,MacBook Pro 13-inch (2020) - Apple M1 8-core and 8-core GPU - 8GB RAM - SSD 1000GB - QWERTY - English,Silver,0,Price or comment missing,VERY_GOOD,no direct listing history; vetted by product lineage
6709310,vetted_product_lineage,0,2d7af07a-48ec-4b7b-b742-c0fd999f15bd,545358,MBP.A2338.M1.8GB.1TB.Grey.VERY_GOOD,MacBook Pro 13-inch (2020) - Apple M1 8-core and 8-core GPU - 8GB RAM - SSD 1000GB - QWERTY - English,Space Gray,0,Price or comment missing,VERY_GOOD,no direct listing history; vetted by product lineage
6709304,vetted_product_lineage,0,313b776d-eab9-438a-bffd-c139a86f67b4,545357,MBP.A2338.M1.16GB.1TB.Grey.VERY_GOOD,MacBook Pro 13-inch (2020) - Apple M1 8-core and 8-core GPU - 16GB RAM - SSD 1000GB - QWERTY - English,Space Gray,0,Price or comment missing,VERY_GOOD,no direct listing history; vetted by product lineage
6709276,vetted_product_lineage,0,87214b18-2f32-49a3-b612-f390c294eb73,545353,MBP.A2338.M1.8GB.1TB.Silver.GOOD,MacBook Pro 13-inch (2020) - Apple M1 8-core and 8-core GPU - 8GB RAM - SSD 1000GB - QWERTY - English,Silver,0,Price or comment missing,GOOD,no direct listing history; vetted by product lineage
6709250,vetted_product_lineage,0,0813a2a6-fd00-4d5f-8ad0-d51aea5715f4,596539,MBP.A2251.I7.32GB.2TB.Grey.FAIR,MacBook Pro Retina 13-inch (2020) - Core i7 - 32GB SSD 2000 QWERTY - English,Space Gray,0,Price or comment missing,FAIR,no direct listing history; vetted by product lineage
6709247,vetted_product_lineage,0,87214b18-2f32-49a3-b612-f390c294eb73,545353,MBP.A2338.M1.8GB.1TB.Silver.FAIR,MacBook Pro 13-inch (2020) - Apple M1 8-core and 8-core GPU - 8GB RAM - SSD 1000GB - QWERTY - English,Silver,0,Price or comment missing,FAIR,no direct listing history; vetted by product lineage
6709047,vetted_exact,1,7408af3f-40ad-4e74-aff8-d2acca799683,2872244,MBP.A2338.M1.16GB.256GB.Grey.Fair,MacBook Pro 13-inch (2020) - Apple M1 8-core and 8-core GPU - 16GB RAM - SSD 256GB - QWERTY - English,Space Gray,0,Price or comment missing,FAIR,
6709046,vetted_exact,1,bb65708b-a0c7-4570-81ee-39b2737f90ee,3541864,MBP.A2991.M3PRO.18GB.512GB.Space Black.Fair,MacBook Pro 16-inch (2023) - Apple M3 Pro 12-core and 18-core GPU - 18GB RAM - SSD 512GB - QWERTY - English,Space Black,0,Price or comment missing,FAIR,
6577956,vetted_exact,1,b8f6f0c1-d4f4-4693-8150-b112d5371b64,545434,MBA.A2337.M1.7C.8GB.256GB.Silver.Fair,MacBook Air 13-inch (2020) - Apple M1 8-core and 7-core GPU - 8GB RAM - SSD 256GB - QWERTY - English,Silver,0,Price or comment missing,FAIR,
