priority,classification,listing_id,listing_uuid,sku,product_id,status,quantity,mismatches,queue_items,title,frontend_url
P0,sku_spec_mismatch,5476297,c63e93a2-32ca-4c1d-a203-32560e8b388b,MBP.A2338.M1.8GB.256GB.Silver.Good,0dfd2e16-45be-4594-afaa-ee5a19662985,Disabled,1,grade:Good,,MacBook Pro 13-inch (2020) - Apple M1 8-core and 8-core GPU - 8GB RAM - SSD 256GB - Standard display - QWERTY - English,https://www.backmarket.co.uk/en-gb/p/macbook-pro-13-inch-2020-m1-8-core-and-8-core-gpu-8gb-ram-ssd-256gb-qwerty/0dfd2e16-45be-4594-afaa-ee5a19662985?l=12
P0,sku_spec_mismatch,5354764,60833d04-4c02-478d-8a63-2c88e6bb9c6c,MBA.A2179.2020.i5.8gb.512gb.Grey.Vgood,ab191cdf-2e76-4701-bb6a-b851d27ef262,Disabled,1,grade:Grey,,MacBook Air Retina 13-inch (2020) - Core i5 - 8GB SSD 512 QWERTY - English,https://www.backmarket.co.uk/en-gb/p/macbook-air-retina-13-inch-2020-core-i5-8gb-ssd-256-gb-qwerty/ab191cdf-2e76-4701-bb6a-b851d27ef262?l=12
P0,sku_spec_mismatch,5294536,48a4ecd7-172c-4d9f-8d89-33100b313499,MBA.A1932.2019.8GB.128GB.Gold.fair,6f81e2f8-0fc6-46ad-b2ea-f38b5ecb9ab4,Disabled,1,chip:2019; storage:128GB,,MacBook Air Retina 13-inch (2018) - Core i5 - 8GB SSD 128 QWERTY - English,https://www.backmarket.co.uk/en-gb/p/macbook-air-retina-133-inch-2018-core-i5-8gb-ssd-128-gb-qwerty-english-uk/6f81e2f8-0fc6-46ad-b2ea-f38b5ecb9ab4?l=12
P0,sku_spec_mismatch,5293987,28dee1af-d30e-42ad-9be7-37412700464c,MBP14.A2442.1016.16GB.1TB.Silver.Good,64a08696-8c1b-4268-8877-b54703bc146d,Disabled,1,chip:1016,,MacBook Pro 14-inch (2021) - Apple M1 Pro 10-core and 16-core GPU - 16GB RAM - SSD 1000GB - Standard display - QWERTY - English,https://www.backmarket.co.uk/en-gb/p/macbook-pro-2021-14-inch-with-m1-pro-10-core-and-16-core-gpu-16gb-ram-ssd-1tb-qwerty-english-uk/64a08696-8c1b-4268-8877-b54703bc146d?l=12
P0,sku_spec_mismatch,5005045,03e0a87e-f3ac-4a16-8fef-02b3227687d6,MBP14.A2442.32GB.512GB.Grey.Fair,a1a7eeae-c91d-4c06-8ff2-d52fe8067464,Disabled,1,storage:Grey,,MacBook Pro 14-inch (2021) - Apple M1 Pro 10-core and 16-core GPU - 32GB RAM - SSD 512GB - Standard display - QWERTY - English,https://www.backmarket.co.uk/en-gb/p/macbook-pro-2021-14-inch-with-m1-pro-10-core-and-16-core-gpu-32gb-ram-ssd-512gb-qwerty-english-uk/a1a7eeae-c91d-4c06-8ff2-d52fe8067464?l=12
P0,sku_spec_mismatch,4925173,376f931a-fa91-4f5c-98da-6a2349ed2a66,MBP13.A2338M2.16Ram.256gbSSD.Grey.Good,b00f4de2-ee1d-42d5-b440-fd36e80b1665,Disabled,1,ram:16Ram; storage:256gbSSD,,MacBook Pro 13-inch (2022) - Apple M2 8-core and 10-core GPU - 16GB RAM - SSD 256GB - Standard display - QWERTY - English,https://www.backmarket.co.uk/en-gb/p/macbook-pro-13-inch-2022-m2-8-core-and-10-core-gpu-16gb-ram-ssd-256gb-qwerty/b00f4de2-ee1d-42d5-b440-fd36e80b1665?l=12
P0,sku_spec_mismatch,4857985,67144d40-f529-46a5-ab2b-bd1b8f3141f1,MBA.A2337.8GB.256GB.Grey.Good,b5ebc79d-0304-41a6-b1ae-d2a487afa11f,Disabled,1,storage:Grey,,MacBook Air 13-inch (2020) - Apple M1 8-core and 7-core GPU - 8GB RAM - SSD 256GB - Standard display - QWERTY - English,https://www.backmarket.co.uk/en-gb/p/macbook-air-2020-13-inch-with-m1-8-core-and-7-core-gpu-8gb-ram-ssd-2tb-qwerty-english-us/b5ebc79d-0304-41a6-b1ae-d2a487afa11f?l=12
P0,sku_spec_mismatch,4852610,d4224261-cfa2-437b-bca6-6f3e5f7b84cb,MBP13.A2338.8GB.512GB.Grey.Fair,30c2c24c-be74-409d-8bec-50e9b9bf421a,Disabled,1,storage:Grey,,MacBook Pro 13-inch (2020) - Apple M1 8-core and 8-core GPU - 8GB RAM - SSD 512GB - Standard display - QWERTY - English,https://www.backmarket.co.uk/en-gb/p/macbook-pro-2020-13-inch-with-m1-8-core-and-8-core-gpu-8gb-ram-ssd-512gb-qwerty-english-us/30c2c24c-be74-409d-8bec-50e9b9bf421a?l=12
P0,sku_spec_mismatch,4846564,2dafe638-860f-452c-8233-5e21bd74c31e,MBP14.2442.16GB.512B.Silver.VGood,43221f93-0d9a-45ec-870b-02d1613c7471,Disabled,1,ram:512B; storage:Silver,,MacBook Pro 14-inch (2021) - Apple M1 Pro 8-core and 14-core GPU - 16GB RAM - SSD 512GB - Standard display - QWERTY - English,https://www.backmarket.co.uk/en-gb/p/macbook-pro-2021-14-inch-with-m1-pro-8-core-and-14-core-gpu-16gb-ram-ssd-512gb-qwerty-english-uk/43221f93-0d9a-45ec-870b-02d1613c7471?l=12
P0,sku_spec_mismatch,4452125,e21d4c3c-b4fa-4589-8020-f61307c5f7d5,MBP14.2442.32GB.2TB.Good,2947907b-7e1f-4204-9664-e5ed2bf5fbab,Disabled,1,storage:Good,,MacBook Pro 14-inch (2021) - Apple M1 Max 10-core and 32-core GPU - 32GB RAM - SSD 2000GB - Standard display - QWERTY - English,https://www.backmarket.co.uk/en-gb/p/macbook-pro-2021-14-inch-with-m1-max-10-core-and-32-core-gpu-32gb-ram-ssd-2tb-qwerty-english-us/2947907b-7e1f-4204-9664-e5ed2bf5fbab?l=12
