ID,Sentence,Description,App names,Owner,State,Updated at
537692848,"When Invoice Action changes to Create Invoice, send a webhook",,"Webhooks","Michael Ferrari","active","Feb 18, 2026, 7:08 PM"
537444955,"When any column changes, send a webhook",,"Webhooks","Ricky Panesar","active","Feb 18, 2026, 1:36 PM"
517634192,"When Status changes to Received
 and only if Client is BM set **Deadline** to today and push **Deadline** by 1 day",,"","Michael Ferrari","active","Feb 11, 2026, 1:53 PM"
530471762,"When any column changes, send a webhook",,"Webhooks","Michael Ferrari","active","Feb 4, 2026, 5:03 PM"
530469026,"When an item is created, send a webhook",,"Webhooks","Michael Ferrari","active","Feb 4, 2026, 4:59 PM"
526854222,"When Parts Required changes, send a webhook",,"Webhooks","Ricky Panesar","active","Jan 28, 2026, 5:37 PM"
524402757,"When Status changes to Repaired
 and if IMEI/SN is empty and only if Technician is assigned to Mykhailo Kepeshchuk set Status to Error and notify Mykhailo Kepeshchuk and move item to Mykhailo",,"","Michael Ferrari","active","Jan 23, 2026, 10:52 AM"
524401012,"When Status changes to Diagnostic Complete
 and if IMEI/SN is empty and only if Technician is assigned to Safan Patel set Status to Error and notify Safan Patel and move item to Safan (Short Deadline)",,"","Michael Ferrari","active","Jan 23, 2026, 10:51 AM"
524401791,"When Status changes to Repaired
 and if IMEI/SN is empty and only if Technician is assigned to Safan Patel set Status to Error and notify Safan Patel and move item to Safan (Short Deadline)",,"","Michael Ferrari","active","Jan 23, 2026, 10:51 AM"
524402464,"When Status changes to Repaired
 and if IMEI/SN is empty and only if Technician is assigned to Roni Mykhailiuk set Status to Error and notify Roni Mykhailiuk and move item to Roni",,"","Michael Ferrari","active","Jan 23, 2026, 10:51 AM"
524402133,"When Status changes to Repaired
 and if IMEI/SN is empty and only if Technician is assigned to Andres Egas set Status to Error and notify Andres Egas and move item to Andres",,"","Michael Ferrari","active","Jan 23, 2026, 10:49 AM"
509016371,"When Status changes to BER/Parts, send a webhook",,"Webhooks","Ricky Panesar","deactivated","Jan 20, 2026, 3:39 PM"
269546292,"When Device changes, send a webhook","https://eric9-c2d6de2066d6.herokuapp.com/main-board/main-status-change","Webhooks","Maksym Shtanko","deactivated","Jan 20, 2026, 3:39 PM"
336200256,"When Requested Repairs changes, send a webhook",,"Webhooks","Ricky Panesar","deactivated","Jan 20, 2026, 3:39 PM"
264095774,"When Status changes, send a webhook","eric9 Status Change","Webhooks","Maksym Shtanko","deactivated","Jan 20, 2026, 3:39 PM"
520364311,"When Parts Deducted changes to Do Now!, send a webhook",,"Webhooks","Ricky Panesar","active","Jan 15, 2026, 5:38 AM"
520364200,"When Status changes to Ready To Collect, send a webhook",,"Webhooks","Ricky Panesar","active","Jan 15, 2026, 5:37 AM"
519172033,"When Status changes to Ready To Collect
 and only if Client is not BM notify Michael Ferrari",,"","Michael Ferrari","active","Jan 13, 2026, 11:16 AM"
13661888,"When Technician is assigned to Mike McAdam, move item to group",,"","Maksym Shtanko","auto_disabled_by_deleted_resource","Jan 11, 2026, 6:36 AM"
411590646,"When Status changes to Ready To Collect
 and only if Client is BM and only if Repair Type is not Listed and only if Repair Type is not Sold and only if Repair Type is not BM RTN/RFD move item to BMs Awaiting Sale and set Repair Type to To List",,"","Mike McAdam","active","Jan 8, 2026, 9:27 AM"
511131239,"When Status changes to Under Refurb, start Refurb Time. When it changes to anything stop.",,"","Ricky Panesar","active","Dec 20, 2025, 1:39 PM"
511131197,"When Status changes to Under Refurb, start Refurb Time. When it changes to anything stop.",,"","Ricky Panesar","active","Dec 20, 2025, 1:39 PM"
510266236,"When Status changes to Cleaning, start Cleaning Time. When it changes to anything stop.",,"","Michael Ferrari","active","Dec 20, 2025, 5:33 AM"
509618257,"When Status changes to Repaired
 and if IMEI/SN is empty set Status to Error and notify Technician",,"","Michael Ferrari","active","Dec 17, 2025, 8:54 AM"
417781933,"When Status changes to Queued For Repair
 and only if Client is BM and only if Repair Type is not BM RTN/RFD set Repair Type to Pay-Out",,"","Mike McAdam","active","Dec 11, 2025, 4:32 PM"
507333831,"When Status changes to Ready To Collect
 and only if Repair Type is BM RTN/RFD move item to Outbound Shipping and set Status to Book Return Courier",,"","Michael Ferrari","active","Dec 11, 2025, 1:11 PM"
485375901,"When Repair Type changes to IC ON
 notify Michael Ferrari",,"","Michael Ferrari","deactivated","Dec 5, 2025, 1:25 PM"
482496680,"When Status changes to Diagnostic Complete
 and only if Technician is assigned to Mike McAdam Assign (replace) Mike McAdam as Diagnostic",,"","Michael Ferrari","deactivated","Dec 4, 2025, 12:24 PM"
482496783,"When Status changes to Diagnostics
 and only if Technician is assigned to Mykhailo Kepeshchuk and if Diagnostic is empty Assign (replace) Mykhailo Kepeshchuk as Diagnostic",,"","Michael Ferrari","active","Dec 4, 2025, 11:53 AM"
482496952,"When Status changes to Diagnostics
 and only if Technician is assigned to Safan Patel and if Diagnostic is empty Assign (replace) Safan Patel as Diagnostic",,"","Michael Ferrari","active","Dec 4, 2025, 11:53 AM"
482495684,"When Status changes to Diagnostics
 and only if Technician is assigned to Andres Egas and if Diagnostic is empty Assign (replace) Andres Egas as Diagnostic",,"","Michael Ferrari","active","Dec 4, 2025, 11:52 AM"
482496856,"When Status changes to Diagnostics
 and only if Technician is assigned to Roni Mykhailiuk and if Diagnostic is empty Assign (replace) Roni Mykhailiuk as Diagnostic",,"","Michael Ferrari","active","Dec 4, 2025, 11:51 AM"
334093818,"When Courier Collection changes to Attempting Booking, send a webhook",,"Webhooks","Maksym Shtanko","deactivated","Nov 25, 2025, 5:15 AM"
140560944,"When Courier Return changes to Attempting Booking, send a webhook","v8/main/couriers","Webhooks","Maksym Shtanko","deactivated","Nov 25, 2025, 5:15 AM"
250217665,"When IMEI/SN changes, send a webhook",,"Webhooks","Maksym Shtanko","deactivated","Nov 25, 2025, 5:14 AM"
269546180,"When IMEI/SN changes, send a webhook",,"Webhooks","Maksym Shtanko","deactivated","Nov 25, 2025, 5:14 AM"
