Item name,Variations,Option set 1,Option 1,Option set 2,Option 2,Option set 3,Option 3,Option set 4,Option 4,Is variation visible? (Yes/No),Price,Variable price? (Yes/No),On sale in Online Store?,Regular price (before sale),Tax rate (%),Set up different prices and VAT for takeaway,Takeaway price,Takeaway tax rate,Unit,Track inventory? (Yes/No),Quantity,Low stock threshold,SKU,Barcode,Modifiers,Description (Online Store and Invoices only),Category,Display item at Checkout? (Yes/No),Display colour in POS checkout,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Display item in Online Store? (Yes/No),SEO title (Online Store only),SEO description (Online Store only),Shipping weight [kg] (Online Store only),Display service in Bookings? (Yes/No),Duration [minutes] (Bookings only),Location [business/customer] (Bookings only),Item id (Do not change),Variant id (Do not change)
Apple Watch SE 2 40MM,,,,,,,,,,,,No,No,,20.00,No,,,each.each,No,,,,,,,Apple Watch,Yes,Light red,,,,,,,,Yes,Apple Watch SE 2 40MM,,,No,,,e7829cf7-3046-4daf-9312-b546018b758f,
,Diagnostic,,,,,,,,,Yes,19.00,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,e31719e4-4a26-4af1-9beb-e58e2a740658
,Genuine OLED Screen,,,,,,,,,Yes,199.00,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,4ec3f12f-6a0d-43aa-ad4e-83897a46d8f4
,Glass Screen,,,,,,,,,Yes,199.00,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,87de3774-64f5-4179-acff-2bd65073470b
,Rear Housing,,,,,,,,,Yes,179.00,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,9768213d-1a8a-45c8-a9de-b830c7feca76
,Battery,,,,,,,,,Yes,139.00,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,4c2374d5-80f5-414f-855a-49f611123565
,Heart Rate Monitor,,,,,,,,,Yes,179.00,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,b037ec5d-fc4d-4cea-a875-ac8aee1d9f9d
,Crown,,,,,,,,,Yes,139.00,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,4715e8e8-547c-4b36-92a1-d9e73a1e3784
,Side Button,,,,,,,,,Yes,129.00,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,acb8c1ce-e290-4d60-9771-83aa819af97e
Apple Watch SE 2 44MM,,,,,,,,,,,,No,No,,20.00,No,,,each.each,No,,,,,,,Apple Watch,Yes,Light red,,,,,,,,Yes,Apple Watch SE 2 44MM,,,No,,,ba1d149b-4645-437b-b48e-34632a4535fe,
,Diagnostic,,,,,,,,,Yes,19.00,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,b5c1ea19-e74d-4e73-8db4-2293561cc754
,Genuine OLED Screen,,,,,,,,,Yes,199.00,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,32289a5f-2372-4992-a5c0-ea0d7ee4d52e
,Glass Screen,,,,,,,,,Yes,199.00,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,0bd2cb37-bd00-4ea5-97bc-84e2707e6d8f
,Rear Housing,,,,,,,,,Yes,179.00,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,f8364cdf-19af-49c3-9b03-e6b7dafac862
,Battery,,,,,,,,,Yes,139.00,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,4abae519-5f0a-454a-8038-24129ef6c806
,Heart Rate Monitor,,,,,,,,,Yes,179.00,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,c93aa2e4-c9f9-4472-986e-502bb60f528f
,Crown,,,,,,,,,Yes,139.00,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,0340399c-aacf-492b-bebd-077e6993ef92
,Side Button,,,,,,,,,Yes,129.00,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,84139482-4066-4ff0-a999-cc2430708452
Apple Watch SE 40MM,,,,,,,,,,,,No,No,,20.00,No,,,each.each,No,,,,,,,Apple Watch,Yes,Light red,,,,,,,,Yes,Apple Watch SE 40MM,,,No,,,048864ca-ce8e-44ea-980c-b39196e70b38,
,Diagnostic,,,,,,,,,Yes,19.00,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,e0379a52-2a8a-4802-bea9-a459e5aa45ad
,Genuine OLED Screen,,,,,,,,,Yes,199.00,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,957d6143-6dbd-401d-943a-75b6fc6299c3
,Glass Screen,,,,,,,,,Yes,199.00,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,ba351f7a-c782-467e-bd31-39b060ec51ab
,Rear Housing,,,,,,,,,Yes,159.00,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,9146ceb0-2c90-4a91-88f3-db231047fa34
